league,year
OnGameNet LoL Invitational,2012
Bloody Invitational Gaming League/Season 1,2019
Bloody Invitational Gaming League/Season 2,2019
Bloody Invitational Gaming League/Season 3,2020
Bloody Invitational Gaming League/Season 4,2021
Ultraliga/Season 0,2018
Ultraliga/Season 1,2019
Ultraliga/Season 2,2019
Ultraliga/Season 3,2020
Ultraliga/Season 4,2020
Ultraliga/Season 5,2021
Ultraliga/Season 6,2021
Ultraliga/Season 7,2022
Ultraliga/Season 8,2022
Ultraliga/Season 9,2023
Ultraliga/Season 10,2023
Ultraliga/Season 2024 Spring,2024
Ultraliga/Season 2024 Summer,2024
European Pro League/Season 1,2023
European Pro League/Season 2,2024
European Pro League/Season 3,2024
NA LCS/Season 3,2013
